category,noOfAssignmentsInClass-1,noOfLOsInAssignment-1(20/30/50LOs),noOfAssignmentsInClass-2,noOfLOsInAssignment-2(100/200LOs),noOfAssignmentsInClass-3,noOfLOsInAssignment-3(400LOs),noOfStudentsInClass
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
Bundle13,10,20,0,0,0,0,50
